order_id,order_date,customer_id,state,product,quantity,unit_price,total_amount
1,2023-01-01 00:00:00,4174,Oyo,Oil,14,2627,36778
2,2023-01-01 01:00:00,4507,Abuja,Sugar,14,4139,57946
3,2023-01-01 02:00:00,1860,Rivers,Milk,13,4774,62062
4,2023-01-01 03:00:00,2294,Kaduna,Oil,4,1060,4240
5,2023-01-01 04:00:00,2130,Oyo,Milk,13,2309,30017
6,2023-01-01 05:00:00,2095,Abuja,Soap,17,4887,83079
7,2023-01-01 06:00:00,4772,Oyo,Oil,15,3432,51480
8,2023-01-01 07:00:00,4092,Kaduna,Soap,18,790,14220
9,2023-01-01 08:00:00,2638,Lagos,Milk,11,2409,26499
10,2023-01-01 09:00:00,3169,Ogun,Milk,4,1928,7712
11,2023-01-01 10:00:00,1466,Abuja,Beans,11,1447,15917
12,2023-01-01 11:00:00,2238,Rivers,Sugar,10,3027,30270
13,2023-01-01 12:00:00,1330,Lagos,Rice,13,1848,24024
14,2023-01-01 13:00:00,2482,Abuja,Sugar,8,880,7040
15,2023-01-01 14:00:00,3135,Lagos,Milk,13,2204,28652
16,2023-01-01 15:00:00,4444,Rivers,Milk,9,809,7281
17,2023-01-01 16:00:00,4171,Abuja,Sugar,1,3914,3914
18,2023-01-01 17:00:00,3919,Kaduna,Milk,1,1998,1998
19,2023-01-01 18:00:00,4735,Kaduna,Soap,15,3394,50910
20,2023-01-01 19:00:00,1130,Rivers,Oil,4,1160,4640
21,2023-01-01 20:00:00,2685,Oyo,Milk,1,3947,3947
22,2023-01-01 21:00:00,4380,Rivers,Sugar,12,2773,33276
23,2023-01-01 22:00:00,1769,Oyo,Sugar,11,1997,21967
24,2023-01-01 23:00:00,3391,Abuja,Sugar,19,2572,48868
25,2023-01-02 00:00:00,2515,Oyo,Beans,15,3936,59040
26,2023-01-02 01:00:00,4485,Abuja,Soap,10,2642,26420
27,2023-01-02 02:00:00,3853,Abuja,Soap,1,2105,2105
28,2023-01-02 03:00:00,3433,Ogun,Beans,3,1931,5793
29,2023-01-02 04:00:00,2215,Abuja,Soap,14,2450,34300
30,2023-01-02 05:00:00,1955,Oyo,Beans,15,4422,66330
31,2023-01-02 06:00:00,3324,Ogun,Soap,1,958,958
32,2023-01-02 07:00:00,2184,Ogun,Beans,10,3448,34480
33,2023-01-02 08:00:00,1459,Abuja,Beans,1,837,837
34,2023-01-02 09:00:00,4385,Rivers,Soap,15,4443,66645
35,2023-01-02 10:00:00,1021,Rivers,Beans,3,2513,7539
36,2023-01-02 11:00:00,3300,Kaduna,Soap,12,4520,54240
37,2023-01-02 12:00:00,1747,Ogun,Beans,19,844,16036
38,2023-01-02 13:00:00,3904,Abuja,Sugar,16,1442,23072
39,2023-01-02 14:00:00,4632,Rivers,Rice,8,845,6760
40,2023-01-02 15:00:00,1474,Abuja,Soap,14,4394,61516
41,2023-01-02 16:00:00,2082,Abuja,Beans,18,3819,68742
42,2023-01-02 17:00:00,3558,Ogun,Sugar,1,4195,4195
43,2023-01-02 18:00:00,4753,Kaduna,Rice,2,824,1648
44,2023-01-02 19:00:00,3047,Ogun,Beans,12,2638,31656
45,2023-01-02 20:00:00,4547,Lagos,Rice,17,4889,83113
46,2023-01-02 21:00:00,3747,Rivers,Soap,2,4112,8224
47,2023-01-02 22:00:00,1975,Rivers,Rice,17,1023,17391
48,2023-01-02 23:00:00,2806,Rivers,Oil,7,3397,23779
